Date_Time,Model_Name,Train_AUC,Validation_AUC,Accuracy,Precision,Recall,F1_Score,Log_Loss,MCC,Balanced_Accuracy,Confusion_Matrix_TP,Confusion_Matrix_FP,Confusion_Matrix_FN,Confusion_Matrix_TN,Model_Filename,Learning_Rate,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Reg_Lambda,Reg_Alpha,random_state,scale_pos_weight,kaggle_score
20230627_135256,XGBoost,0.999876086,0.97549277,0.987420898,0.943152455,0.721343874,0.817469205,0.043196939,0.81890165,0.859788545,365,22,141,12430,Models\XGBoost_model-20230627_135256.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_140318,XGBoost,0.999878011,0.9755334,0.987189381,0.940414508,0.717391304,0.813901345,0.042994586,0.815333804,0.857772106,363,23,143,12429,Models\XGBoost_model-20230627_140318.pickle,0.008,1500,14.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_141728,XGBoost,0.999734007,0.976224153,0.986726347,0.952054795,0.73415493,0.829025845,0.045176274,0.829763874,0.866230007,417,21,151,12369,Models\XGBoost_model-20230627_141728.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_142716,XGBoost,0.999733952,0.976512465,0.986726347,0.952054795,0.73415493,0.829025845,0.045125108,0.829763874,0.866230007,417,21,151,12369,Models\XGBoost_model-20230627_142716.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_143717,XGBoost,0.999737549,0.97574657,0.986649174,0.954022989,0.730633803,0.827517448,0.045427099,0.828610068,0.864509799,415,20,153,12370,Models\XGBoost_model-20230627_143717.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_150359,XGBoost,0.999733598,0.974638118,0.986726347,0.949074074,0.732142857,0.826612903,0.045156722,0.827301313,0.865184189,410,22,150,12376,Models\XGBoost_model-20230627_150359.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_151254,XGBoost,0.999737102,0.975128693,0.986957864,0.949425287,0.7375,0.830150754,0.045090036,0.830590255,0.86786276,413,22,147,12376,Models\XGBoost_model-20230627_151254.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_152251,XGBoost,0.999734745,0.974391679,0.986726347,0.947004608,0.733928571,0.826961771,0.045504369,0.827385836,0.866036717,411,23,149,12375,Models\XGBoost_model-20230627_152251.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_153144,XGBoost,0.999737707,0.975319752,0.986957864,0.949425287,0.7375,0.830150754,0.044968087,0.830590255,0.86786276,413,22,147,12376,Models\XGBoost_model-20230627_153144.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_155630,XGBoost,0.999738005,0.974460887,0.986803519,0.949191686,0.733928571,0.827794562,0.045178365,0.828398889,0.866077046,411,22,149,12376,Models\XGBoost_model-20230627_155630.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_161943,XGBoost,0.999732452,0.974550331,0.986880691,0.947247706,0.7375,0.829317269,0.045126897,0.829579366,0.867822431,413,23,147,12375,Models\XGBoost_model-20230627_161943.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_205503,XGBoost,0.999691576,0.977787172,0.987112209,0.953810624,0.7375,0.831822759,0.044818546,0.832622319,0.867943418,413,20,147,12378,Models\XGBoost_model-20230627_205503.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_205859,XGBoost,0.999691106,0.977776658,0.986803519,0.949191686,0.733928571,0.827794562,0.045138622,0.828398889,0.866077046,411,22,149,12376,Models\XGBoost_model-20230627_205859.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_210252,XGBoost,0.999700732,0.97775318,0.987266553,0.956120092,0.739285714,0.833836858,0.044700527,0.834734035,0.868876605,414,19,146,12379,Models\XGBoost_model-20230627_210252.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,0.95799
20230627_210651,XGBoost,0.999712533,0.978058961,0.987112209,0.953810624,0.7375,0.831822759,0.044544364,0.832622319,0.867943418,413,20,147,12378,Models\XGBoost_model-20230627_210651.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_211030,XGBoost,0.999706059,0.977444375,0.987035036,0.951612903,0.7375,0.830985915,0.044791459,0.831604567,0.867903089,413,21,147,12377,Models\XGBoost_model-20230627_211030.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_211359,XGBoost,0.999715684,0.978177716,0.987420898,0.960556845,0.739285714,0.835519677,0.044482464,0.836784669,0.868957263,414,17,146,12381,Models\XGBoost_model-20230627_211359.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_232117,XGBoost,0.998874002,0.970398382,0.98587745,0.922907489,0.738977072,0.820763957,0.050346594,0.818955032,0.868076221,419,35,148,12356,Models\XGBoost_model-20230627_232117.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,
20230627_232838,XGBoost,0.998874002,0.970398382,0.98587745,0.922907489,0.738977072,0.820763957,0.050346594,0.818955032,0.868076221,419,35,148,12356,Models\XGBoost_model-20230627_232838.pickle,0.008,1500,11.0,5.0,0.1,0.8,0.8,1.0,1.0,,,0.9618
